timestamp,device,ecg_value
2026-08-21T17:34:36.628891,patient_01,1952
2026-08-21T17:34:36.628891,patient_01,1713
2026-08-21T17:34:36.628891,patient_01,1649
2026-08-21T17:34:36.628891,patient_01,1937
2026-08-21T17:34:36.628891,patient_01,2161
2026-08-21T17:34:36.628891,patient_01,2048
2026-08-21T17:34:36.628891,patient_01,1777
2026-08-21T17:34:36.628891,patient_01,1633
2026-08-21T17:34:36.628891,patient_01,1904
2026-08-21T17:34:36.628891,patient_01,2176
2026-08-21T17:34:36.628891,patient_01,2065
2026-08-21T17:34:36.628891,patient_01,1760
2026-08-21T17:34:36.628891,patient_01,1632
2026-08-21T17:34:36.628891,patient_01,1873
2026-08-21T17:34:36.628891,patient_01,2129
2026-08-21T17:34:36.689414,patient_01,2032
2026-08-21T17:34:36.689414,patient_01,1841
2026-08-21T17:34:36.689414,patient_01,1744
2026-08-21T17:34:36.689414,patient_01,1984
2026-08-21T17:34:36.689414,patient_01,2273
2026-08-21T17:34:36.689414,patient_01,2192
2026-08-21T17:34:36.689414,patient_01,1968
2026-08-21T17:34:36.689414,patient_01,1824
2026-08-21T17:34:36.689414,patient_01,2016
2026-08-21T17:34:36.689414,patient_01,2208
2026-08-21T17:34:36.689414,patient_01,2273
2026-08-21T17:34:36.689414,patient_01,2033
2026-08-21T17:34:36.689414,patient_01,1793
2026-08-21T17:34:36.689414,patient_01,2017
2026-08-21T17:34:36.689414,patient_01,2192
2026-08-21T17:34:36.689414,patient_01,2128
2026-08-21T17:34:36.689414,patient_01,1872
2026-08-21T17:34:36.689414,patient_01,1793
2026-08-21T17:34:36.689414,patient_01,2064
2026-08-21T17:34:36.689414,patient_01,2304
2026-08-21T17:34:36.689414,patient_01,2241
2026-08-21T17:34:36.689414,patient_01,1952
2026-08-21T17:34:36.689414,patient_01,1728
2026-08-21T17:34:36.689414,patient_01,1905
2026-08-21T17:34:36.689414,patient_01,2208
2026-08-21T17:34:36.808913,patient_01,2161
2026-08-21T17:34:36.808913,patient_01,1937
2026-08-21T17:34:36.808913,patient_01,1729
2026-08-21T17:34:36.808913,patient_01,2017
2026-08-21T17:34:36.808913,patient_01,2321
2026-08-21T17:34:36.808913,patient_01,2288
2026-08-21T17:34:36.808913,patient_01,2001
2026-08-21T17:34:36.808913,patient_01,1841
2026-08-21T17:34:36.808913,patient_01,2048
2026-08-21T17:34:36.808913,patient_01,2272
2026-08-21T17:34:36.808913,patient_01,2209
2026-08-21T17:34:36.808913,patient_01,2000
2026-08-21T17:34:36.808913,patient_01,1857
2026-08-21T17:34:36.808913,patient_01,2065
2026-08-21T17:34:36.808913,patient_01,2289
2026-08-21T17:34:36.808913,patient_01,2160
2026-08-21T17:34:36.808913,patient_01,1841
2026-08-21T17:34:36.808913,patient_01,1793
2026-08-21T17:34:36.808913,patient_01,2000
2026-08-21T17:34:36.808913,patient_01,2336
2026-08-21T17:34:36.808913,patient_01,2337
2026-08-21T17:34:36.808913,patient_01,2080
2026-08-21T17:34:36.808913,patient_01,1872
2026-08-21T17:34:36.808913,patient_01,2048
2026-08-21T17:34:36.808913,patient_01,2369
2026-08-21T17:34:36.929628,patient_01,2304
2026-08-21T17:34:36.929628,patient_01,2097
2026-08-21T17:34:36.929628,patient_01,2001
2026-08-21T17:34:36.929628,patient_01,2224
2026-08-21T17:34:36.929628,patient_01,2512
2026-08-21T17:34:36.929628,patient_01,2496
2026-08-21T17:34:36.929628,patient_01,2240
2026-08-21T17:34:36.929628,patient_01,2017
2026-08-21T17:34:36.929628,patient_01,2224
2026-08-21T17:34:36.929628,patient_01,2400
2026-08-21T17:34:36.929628,patient_01,2385
2026-08-21T17:34:36.929628,patient_01,2176
2026-08-21T17:34:36.929628,patient_01,2000
2026-08-21T17:34:36.929628,patient_01,2145
2026-08-21T17:34:36.929628,patient_01,2337
2026-08-21T17:34:36.929628,patient_01,2273
2026-08-21T17:34:36.929628,patient_01,2001
2026-08-21T17:34:36.929628,patient_01,1840
2026-08-21T17:34:36.929628,patient_01,1968
2026-08-21T17:34:36.929628,patient_01,2304
2026-08-21T17:34:36.929628,patient_01,2224
2026-08-21T17:34:36.929628,patient_01,1985
2026-08-21T17:34:36.929628,patient_01,1776
2026-08-21T17:34:36.929628,patient_01,1968
2026-08-21T17:34:36.929628,patient_01,2304
2026-08-21T17:34:36.988918,patient_01,2241
2026-08-21T17:34:36.988918,patient_01,2016
2026-08-21T17:34:36.988918,patient_01,1905
2026-08-21T17:34:36.988918,patient_01,2129
2026-08-21T17:34:36.988918,patient_01,2400
2026-08-21T17:34:36.988918,patient_01,2369
2026-08-21T17:34:36.988918,patient_01,2097
2026-08-21T17:34:36.988918,patient_01,1888
2026-08-21T17:34:36.988918,patient_01,2065
2026-08-21T17:34:36.988918,patient_01,2352
2026-08-21T17:34:36.988918,patient_01,2336
2026-08-21T17:34:36.988918,patient_01,2096
2026-08-21T17:34:36.988918,patient_01,1888
2026-08-21T17:34:36.988918,patient_01,2128
2026-08-21T17:34:36.988918,patient_01,2433
2026-08-21T17:34:36.988918,patient_01,2448
2026-08-21T17:34:36.988918,patient_01,2225
2026-08-21T17:34:36.988918,patient_01,2048
2026-08-21T17:34:36.988918,patient_01,2289
2026-08-21T17:34:36.988918,patient_01,2561
2026-08-21T17:34:36.988918,patient_01,2464
2026-08-21T17:34:36.988918,patient_01,2160
2026-08-21T17:34:36.988918,patient_01,1969
2026-08-21T17:34:36.988918,patient_01,2160
2026-08-21T17:34:36.988918,patient_01,2417
2026-08-21T17:34:37.108898,patient_01,2352
2026-08-21T17:34:37.108898,patient_01,2193
2026-08-21T17:34:37.108898,patient_01,2001
2026-08-21T17:34:37.108898,patient_01,2129
2026-08-21T17:34:37.108898,patient_01,2401
2026-08-21T17:34:37.108898,patient_01,2433
2026-08-21T17:34:37.108898,patient_01,2256
2026-08-21T17:34:37.108898,patient_01,2065
2026-08-21T17:34:37.108898,patient_01,2288
2026-08-21T17:34:37.108898,patient_01,2480
2026-08-21T17:34:37.108898,patient_01,2561
2026-08-21T17:34:37.108898,patient_01,2289
2026-08-21T17:34:37.108898,patient_01,2097
2026-08-21T17:34:37.108898,patient_01,2321
2026-08-21T17:34:37.108898,patient_01,2672
2026-08-21T17:34:37.108898,patient_01,2640
2026-08-21T17:34:37.108898,patient_01,2368
2026-08-21T17:34:37.108898,patient_01,2129
2026-08-21T17:34:37.108898,patient_01,2400
2026-08-21T17:34:37.108898,patient_01,2753
